"fips","county","state","source","percent_change","year","prison_admitsper10k","county_population","prison_admissions","persistent_poverty","urbanicity"
1001,"Autauga","AL","NCRP",-57.99,"2006",44.26,51328,243,0,"Metropolitan"
1003,"Baldwin","AL","NCRP",-32.86,"2006",24.64,168121,461,0,"Urban_Adjacent"
1005,"Barbour","AL","NCRP",-83.72,"2006",75.4,27861,206,1,"Urban_Adjacent"
1007,"Bibb","AL","NCRP",-69.67,"2006",21.97,22099,50,1,"Metropolitan"
1009,"Blount","AL","NCRP",-57.06,"2006",16.14,55485,93,0,"Metropolitan"
1011,"Bullock","AL","NCRP",NA,"2006",66.07,10776,71,1,"Urban_Adjacent"
1013,"Butler","AL","NCRP",-5.16,"2006",36.37,20815,75,1,"Urban_Adjacent"
1015,"Calhoun","AL","NCRP",-19.43,"2006",46.04,115388,542,0,"Metropolitan"
1017,"Chambers","AL","NCRP",-49.03,"2006",50.67,34945,173,0,"Urban_Adjacent"
1019,"Cherokee","AL","NCRP",27.68,"2006",24.97,25466,65,0,"Rural"
1021,"Chilton","AL","NCRP",-32.04,"2006",43.21,42318,189,0,"Metropolitan"
1023,"Choctaw","AL","NCRP",-20.62,"2006",16.07,14431,22,1,"Rural"
1025,"Clarke","AL","NCRP",26.05,"2006",23.85,26755,61,1,"Urban_NonAdjacent"
1027,"Clay","AL","NCRP",-42.22,"2006",56.19,14053,77,0,"Rural"
1029,"Cleburne","AL","NCRP",-61.67,"2006",70.93,14538,106,0,"Rural"
1031,"Coffee","AL","NCRP",-68.97,"2006",45.57,46228,230,0,"Urban_Adjacent"
1033,"Colbert","AL","NCRP",-49.02,"2006",43.15,54413,235,0,"Metropolitan"
1035,"Conecuh","AL","NCRP",-89.51,"2006",52.66,13603,69,1,"Rural"
1037,"Coosa","AL","NCRP",-18.7,"2006",55.37,11451,62,0,"Rural"
1039,"Covington","AL","NCRP",-24.25,"2006",74.51,37441,282,0,"Urban_NonAdjacent"
1041,"Crenshaw","AL","NCRP",-56.48,"2006",27.95,13880,39,1,"Rural"
1043,"Cullman","AL","NCRP",-30.68,"2006",36.03,79044,290,0,"Urban_Adjacent"
1045,"Dale","AL","NCRP",-55.98,"2006",32.13,49077,161,0,"Urban_Adjacent"
1047,"Dallas","AL","NCRP",-68.39,"2006",31.1,44323,134,1,"Urban_Adjacent"
1049,"DeKalb","AL","NCRP",-45.73,"2006",31.37,68495,223,0,"Urban_Adjacent"
1051,"Elmore","AL","NCRP",-54.19,"2006",31.54,75246,252,0,"Metropolitan"
1053,"Escambia","AL","NCRP",-21.19,"2006",45.06,37673,172,1,"Urban_Adjacent"
1055,"Etowah","AL","NCRP",-32.51,"2006",54.67,103528,570,0,"Metropolitan"
1057,"Fayette","AL","NCRP",-57.75,"2006",35.07,17767,60,0,"Urban_Adjacent"
1059,"Franklin","AL","NCRP",-51.4,"2006",52.74,31134,167,0,"Urban_Adjacent"
1061,"Geneva","AL","NCRP",-50.4,"2006",33.97,26271,91,0,"Metropolitan"
1063,"Greene","AL","NCRP",-72.92,"2006",30.22,9361,27,1,"Metropolitan"
1065,"Hale","AL","NCRP",NA,"2006",5.77,16427,9,1,"Metropolitan"
1067,"Henry","AL","NCRP",-50.92,"2006",46.22,16953,80,0,"Metropolitan"
1069,"Houston","AL","NCRP",-43.56,"2006",77.2,95846,790,0,"Metropolitan"
1071,"Jackson","AL","NCRP",-32.69,"2006",32.72,53483,174,0,"Urban_Adjacent"
1073,"Jefferson","AL","NCRP",-48.94,"2006",48.14,655893,3170,0,"Metropolitan"
1075,"Lamar","AL","NCRP",-15.83,"2006",23.62,14816,34,0,"Rural"
1077,"Lauderdale","AL","NCRP",-15.17,"2006",28.49,90294,264,0,"Metropolitan"
1079,"Lawrence","AL","NCRP",-12.2,"2006",41.17,34028,140,0,"Metropolitan"
1081,"Lee","AL","NCRP",-35.23,"2006",26.52,129247,383,1,"Metropolitan"
1083,"Limestone","AL","NCRP",-51.67,"2006",24.16,73651,206,0,"Metropolitan"
1085,"Lowndes","AL","NCRP",-32.64,"2006",25.26,12124,28,1,"Metropolitan"
1087,"Macon","AL","NCRP",-38.8,"2006",23.55,22227,49,1,"Urban_Adjacent"
1089,"Madison","AL","NCRP",-49.76,"2006",36.25,309170,1230,0,"Metropolitan"
1091,"Marengo","AL","NCRP",-47.29,"2006",37.74,21531,78,1,"Urban_NonAdjacent"
1093,"Marion","AL","NCRP",-30.23,"2006",70.55,30779,216,0,"Rural"
1095,"Marshall","AL","NCRP",-18.95,"2006",20.6,88209,193,0,"Urban_Adjacent"
1097,"Mobile","AL","NCRP",-28.02,"2006",52.37,402916,2164,0,"Metropolitan"
1099,"Monroe","AL","NCRP",-26.48,"2006",21.07,23602,48,1,"Urban_NonAdjacent"
1101,"Montgomery","AL","NCRP",-61.59,"2006",57.21,227291,1310,0,"Metropolitan"
1103,"Morgan","AL","NCRP",-11.09,"2006",39.02,115491,467,0,"Metropolitan"
1105,"Perry","AL","NCRP",NA,"2006",21.17,10677,22,1,"Rural"
1107,"Pickens","AL","NCRP",-45.7,"2006",30.74,20128,60,1,"Rural"
1109,"Pike","AL","NCRP",-69.92,"2006",66.71,31309,220,1,"Urban_Adjacent"
1111,"Randolph","AL","NCRP",-49.66,"2006",80.2,22695,183,0,"Urban_Adjacent"
1113,"Russell","AL","NCRP",-37.97,"2006",61.39,50459,341,0,"Metropolitan"
1115,"St. Clair","AL","NCRP",8.01,"2006",28.51,75948,241,0,"Metropolitan"
1117,"Shelby","AL","NCRP",0.93,"2006",15.68,178841,311,0,"Metropolitan"
1119,"Sumter","AL","NCRP",-53.68,"2006",14.76,14059,20,1,"Rural"
1121,"Talladega","AL","NCRP",-69.57,"2006",61.82,81991,506,0,"Urban_Adjacent"
1123,"Tallapoosa","AL","NCRP",-37.45,"2006",51.66,41243,214,0,"Urban_Adjacent"
1125,"Tuscaloosa","AL","NCRP",-10.66,"2006",29.67,181383,584,0,"Metropolitan"
1127,"Walker","AL","NCRP",-35.71,"2006",41.58,68234,277,0,"Metropolitan"
1129,"Washington","AL","NCRP",-12.73,"2006",23.14,17705,40,0,"Rural"
1131,"Wilcox","AL","NCRP",-30.73,"2006",7.81,12221,9,1,"Rural"
1133,"Winston","AL","NCRP",-30.52,"2006",42.31,24796,103,0,"Urban_Adjacent"
4001,"Apache","AZ","NCRP",-12.45,"2006",13.2,69390,95,1,"Urban_Adjacent"
4003,"Cochise","AZ","NCRP",19.95,"2006",21.52,127241,282,0,"Urban_Adjacent"
4005,"Coconino","AZ","NCRP",-42.98,"2006",40.51,128695,546,0,"Metropolitan"
4007,"Gila","AZ","NCRP",10.06,"2006",39,52541,208,0,"Urban_Adjacent"
4009,"Graham","AZ","NCRP",82.12,"2006",28.79,33701,107,0,"Urban_Adjacent"
4011,"Greenlee","AZ","NCRP",161.71,"2006",12.67,7838,11,0,"Urban_NonAdjacent"
4012,"La Paz","AZ","NCRP",43.35,"2006",27.93,20573,57,0,"Urban_Adjacent"
4013,"Maricopa","AZ","NCRP",-10.8,"2006",32.6,3642884,12679,0,"Metropolitan"
4015,"Mohave","AZ","NCRP",5.49,"2006",38.92,196168,785,0,"Urban_Adjacent"
4017,"Navajo","AZ","NCRP",37.02,"2006",27.21,105624,292,1,"Urban_Adjacent"
4019,"Pima","AZ","NCRP",6.73,"2006",26.76,940930,2641,0,"Metropolitan"
4021,"Pinal","AZ","NCRP",72.12,"2006",20.31,271328,770,0,"Metropolitan"
4023,"Santa Cruz","AZ","NCRP",-13.23,"2006",22.71,44298,107,0,"Urban_Adjacent"
4025,"Yavapai","AZ","NCRP",-17.01,"2006",46.47,204082,985,0,"Metropolitan"
4027,"Yuma","AZ","NCRP",0.71,"2006",35.27,183848,702,0,"Metropolitan"
5001,"Arkansas","AR","NCRP",-14.06,"2006",63.83,19785,121,0,"Urban_Adjacent"
5003,"Ashley","AR","NCRP",12.55,"2006",51.74,22501,112,0,"Urban_NonAdjacent"
5005,"Baxter","AR","NCRP",-3.87,"2006",24.95,40867,103,0,"Urban_NonAdjacent"
5007,"Benton","AR","NCRP",33.52,"2006",17.89,195569,407,0,"Metropolitan"
5009,"Boone","AR","NCRP",-12.73,"2006",28.03,36056,104,0,"Urban_NonAdjacent"
5011,"Bradley","AR","NCRP",5.53,"2006",28.9,11778,33,1,"Urban_Adjacent"
5013,"Calhoun","AR","NCRP",-59.83,"2006",52.64,5693,28,0,"Rural"
5015,"Carroll","AR","NCRP",39.83,"2006",15.98,26615,44,0,"Urban_Adjacent"
5017,"Chicot","AR","NCRP",83.14,"2006",36.14,12516,42,1,"Urban_NonAdjacent"
5019,"Clark","AR","NCRP",0.27,"2006",36.23,22924,83,0,"Urban_NonAdjacent"
5021,"Clay","AR","NCRP",108.89,"2006",17.1,16679,27,0,"Urban_NonAdjacent"
5023,"Cleburne","AR","NCRP",138.78,"2006",18.95,25430,49,0,"Urban_Adjacent"
5025,"Cleveland","AR","NCRP",12.59,"2006",34.69,8829,30,0,"Metropolitan"
5027,"Columbia","AR","NCRP",7.81,"2006",31.01,25133,76,1,"Urban_NonAdjacent"
5029,"Conway","AR","NCRP",19.85,"2006",37.2,20753,79,0,"Urban_Adjacent"
5031,"Craighead","AR","NCRP",-16.02,"2006",30.08,89725,296,0,"Metropolitan"
5033,"Crawford","AR","NCRP",5.55,"2006",42.07,59126,260,0,"Metropolitan"
5035,"Crittenden","AR","NCRP",-23.32,"2006",80.28,50360,405,1,"Metropolitan"
5037,"Cross","AR","NCRP",34.47,"2006",12.95,18525,23,0,"Urban_Adjacent"
5039,"Dallas","AR","NCRP",-39.76,"2006",38.53,8477,31,0,"Urban_Adjacent"
5041,"Desha","AR","NCRP",104.96,"2006",24.27,13870,31,1,"Urban_Adjacent"
5043,"Drew","AR","NCRP",18.32,"2006",35.86,18705,67,0,"Urban_NonAdjacent"
5045,"Faulkner","AR","NCRP",-6.43,"2006",27.34,102969,317,0,"Metropolitan"
5047,"Franklin","AR","NCRP",59.09,"2006",24.36,18151,44,0,"Metropolitan"
5049,"Fulton","AR","NCRP",15.61,"2006",17.12,12119,21,0,"Rural"
5051,"Garland","AR","NCRP",51.14,"2006",17.61,94077,170,0,"Metropolitan"
5053,"Grant","AR","NCRP",67.37,"2006",20.09,17442,36,0,"Metropolitan"
5055,"Greene","AR","NCRP",83.14,"2006",27.24,40469,116,0,"Urban_Adjacent"
5057,"Hempstead","AR","NCRP",30.91,"2006",29.77,22957,67,0,"Urban_Adjacent"
